GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037108103,Census Tract 1081.03; Los Angeles County; California,1769,115,0,811,0,67,291
1400000U,6037108104,Census Tract 1081.04; Los Angeles County; California,1012,58,0,396,0,162,126
1400000U,6037108202,Census Tract 1082.02; Los Angeles County; California,3377,1599,0,3624,144,413,1091
1400000U,6037108203,Census Tract 1082.03; Los Angeles County; California,1296,352,99,1278,0,15,117
1400000U,6037108204,Census Tract 1082.04; Los Angeles County; California,693,75,16,922,0,0,76
1400000U,6037109100,Census Tract 1091; Los Angeles County; California,1157,110,37,525,0,600,432
1400000U,6037109200,Census Tract 1092; Los Angeles County; California,1109,87,0,1014,0,296,357
1400000U,6037109300,Census Tract 1093; Los Angeles County; California,1290,64,0,496,0,328,727
1400000U,6037109400,Census Tract 1094; Los Angeles County; California,681,17,57,224,0,1542,1099
1400000U,6037109500,Census Tract 1095; Los Angeles County; California,887,58,130,139,0,2164,529
1400000U,6037109601,Census Tract 1096.01; Los Angeles County; California,1546,227,62,452,0,1462,1293
1400000U,6037109603,Census Tract 1096.03; Los Angeles County; California,715,74,17,649,50,2070,463
1400000U,6037109604,Census Tract 1096.04; Los Angeles County; California,811,67,198,249,1,882,513
1400000U,6037109700,Census Tract 1097; Los Angeles County; California,1826,111,20,738,65,489,1010
1400000U,6037109800,Census Tract 1098; Los Angeles County; California,2194,63,311,401,34,566,1056
1400000U,6037111100,Census Tract 1111; Los Angeles County; California,1118,30,265,581,0,513,458
1400000U,6037111201,Census Tract 1112.01; Los Angeles County; California,1466,43,8,633,0,633,492
1400000U,6037111202,Census Tract 1112.02; Los Angeles County; California,2365,119,62,1340,0,578,1278
1400000U,6037111204,Census Tract 1112.04; Los Angeles County; California,2607,106,17,1510,0,649,1013
1400000U,6037111205,Census Tract 1112.05; Los Angeles County; California,1530,85,0,1075,0,638,299
1400000U,6037111206,Census Tract 1112.06; Los Angeles County; California,2382,218,41,836,0,170,648
1400000U,6037111302,Census Tract 1113.02; Los Angeles County; California,2245,277,31,970,0,767,677
1400000U,6037111303,Census Tract 1113.03; Los Angeles County; California,2495,124,5,694,0,341,908
